language,task,n_H_lemmas,T,top5_share_T,delta_acc_top5,delta_acc_rest,delta_f1_top5,delta_f1_rest,delta_acc_full,delta_f1_full,loo_range_acc,loo_range_f1,max_abs_shift_acc,max_abs_shift_f1,boot_ci_width_acc,boot_ci_width_f1,ratio_acc,ratio_f1,floor_label,floor_acc,n_floor_flips_top10
en_ewt,upos,4785,49630,0.1847672778561354,0.07579062159214822,0.0971082550667326,0.30065805335585827,0.23909261548650684,0.09316945395929888,0.24182764028275405,0.01361268415841932,0.06473424217209678,0.010898330430247016,0.0635507216690574,0.005561152528712476,0.017155954581726335,2.4478170825447476,3.7732812746571653,NOUN,0.21043723554301833,0
en_ewt,number,1696,8510,0.04488836662749706,0.03141361256544506,0.0034448818897637734,0.03991913193288399,0.00479638152616535,0.004700352526439411,0.006513477552184677,0.000939871668616532,0.0012837613560878758,0.0005514667986062927,0.0007736666690330019,0.004582843713278497,0.006353479019872779,0.2050848179468381,0.20205644058514285,Sing,0.7611045828437133,0
it_isdt,upos,3287,51709,0.48212110077549364,0.24328118732450865,0.04006871055677963,0.19177791478943607,0.08689524214943156,0.1380417335473515,0.17741634920569505,0.029821533310772308,0.044121886655858145,0.022627929834911797,0.02221484067223789,0.006265833800692344,0.03768834700976248,4.759387857921985,1.1707036831418787,DET,0.2028853777872324,1
it_isdt,number,1636,10989,0.07835107835107835,0.04761904761904756,0.000987361769352324,0.05075276231120851,0.001149577839428706,0.004641004641004698,0.005338637130575363,0.004426656213906366,0.005129030414314784,0.004085191764673035,0.004698385728883925,0.0033670033670033673,0.003904875198178102,1.3147168955301904,1.313494069338717,Sing,0.684047684047684,0
pl_pdb,upos,6751,72841,0.2300627393912769,0.2891753192505072,0.08861865449423179,0.37675978988806524,0.2389513629992297,0.13475927019123846,0.2825645353426023,0.022132281007081978,0.028166366750141725,0.01975263766189128,0.019515343081424108,0.005175999780343471,0.06296371303120502,4.275943189010977,0.44734284866876234,NOUN,0.28379621367087215,0
pl_pdb,number,2639,17155,0.08679685222967065,0.006044325050369337,0.00351078769309332,0.006316181739431603,0.004477466431806576,0.003730690760711197,0.004645103500447112,0.0004899538903087031,0.0006882923751908576,0.0004190408494161302,0.0005449477757273335,0.002856310113669484,0.0035719008950051375,0.17153385690297554,0.19269638084117888,Sing,0.71874089186826,0
