task,term,log_odds,ci_lo,ci_hi,p_value,headline,C_label_included,converged,class_n,class_errors,all_or_none
upos,Intercept,-2.146765112527778,-2.2128436601196144,-2.0806865649359416,0.0,False,True,True,,,
upos,C(label)[T.ADP],0.12593778485418128,0.042075649613012134,0.20979992009535042,0.003247073011306916,False,True,True,32660.0,5714.0,False
upos,C(label)[T.ADV],0.6408503066935193,0.5581188103080467,0.7235818030789919,4.641784712278947e-52,False,True,True,7676.0,1556.0,False
upos,C(label)[T.AUX],1.9697975452902177,1.8794704348733107,2.0601246557071247,0.0,False,True,True,4119.0,2202.0,False
upos,C(label)[T.CCONJ],1.3756996290302195,1.2791385754021567,1.4722606826582822,1.38380064640199e-171,False,True,True,5172.0,2004.0,False
upos,C(label)[T.DET],0.7574259435042241,0.6729255697102962,0.841926317298152,4.3092318266840236e-69,False,True,True,12736.0,2991.0,False
upos,C(label)[T.INTJ],2.188880992658237,1.9609363435232743,2.4168256417931997,5.089357115550726e-79,False,True,True,325.0,172.0,False
upos,C(label)[T.NOUN],-1.028959629624658,-1.1048791589124778,-0.9530401003368381,1.7714140554427134e-155,False,True,True,40260.0,1606.0,False
upos,C(label)[T.NUM],0.0033778061171441933,-0.15298299228021303,0.15973860451450142,0.9662273417055091,False,True,True,1740.0,227.0,False
upos,C(label)[T.PART],1.9047423159290642,1.7952091880135743,2.014275443844554,1.3138976363592224e-254,False,True,True,1987.0,1036.0,False
upos,C(label)[T.PRON],0.220341150520756,0.13625652021229023,0.3044257808292218,2.8061112808969013e-07,False,True,True,14149.0,2533.0,False
upos,C(label)[T.PROPN],-0.1596246438106775,-0.26175272037118635,-0.05749656725016869,0.0021884160523283165,False,True,True,7020.0,618.0,False
upos,C(label)[T.PUNCT],0.5042699329258788,0.4117430080462091,0.5967968578055486,1.2389281694421243e-26,False,True,True,11313.0,2501.0,False
upos,C(label)[T.SCONJ],0.8111284288332995,0.6789089711202565,0.9433478865463425,2.6637730237694836e-33,False,True,True,1550.0,396.0,False
upos,C(label)[T.SYM],2.4077363819447317,2.162702704684846,2.6527700592046175,1.1890049247111154e-82,False,True,True,321.0,210.0,False
upos,C(label)[T.VERB],-0.8036213871771736,-0.891831281284512,-0.7154114930698352,2.599528740375231e-71,False,True,True,18547.0,899.0,False
upos,C(label)[T.X],1.8500068996537544,1.5900591161134665,2.1099546831940423,3.201632903562899e-44,False,True,True,263.0,144.0,False
upos,C(language)[T.it_isdt],-0.059597049993311904,-0.10298960149435923,-0.016204498492264574,0.007104790281637025,False,True,True,,,
upos,C(language)[T.pl_pdb],0.3784910148525089,0.34191076973676177,0.41507125996825606,1.951394292658079e-91,False,True,True,,,
upos,z_n_subwords,-0.19778856356127775,-0.2249953427939568,-0.1705817843285987,4.5737117840142485e-46,True,True,True,,,
upos,z_char_length,-0.277171402575692,-0.30811821984577337,-0.24622458530561064,5.52603424167121e-69,False,True,True,,,
upos,z_log_freq,-0.03468822133768583,-0.06609643037926599,-0.0032800122961056596,0.030414779926045313,False,True,True,,,
number,Intercept,-3.694221721015365,-3.9150380179486985,-3.4734054240820313,8.206142331269267e-236,False,True,True,,,
number,C(label)[T.Sing],-1.294903104814712,-1.4824679291469602,-1.1073382804824636,1.0244105609999127e-41,False,True,True,26324.0,206.0,False
number,C(language)[T.it_isdt],-0.3737559686323817,-0.6550174562525939,-0.09249448101216945,0.009200585018922711,False,True,True,,,
number,C(language)[T.pl_pdb],0.14641632902153034,-0.08606187958228881,0.3788945376253495,0.21705448030929075,False,True,True,,,
number,z_n_subwords,0.1789242114890468,0.05991532604089897,0.2979330969371946,0.003211713088375528,True,True,True,,,
number,z_char_length,-0.5633068441398175,-0.6863593667391216,-0.44025432154051336,2.904510017581161e-19,False,True,True,,,
number,z_log_freq,0.0946601078017856,-0.009057229107536341,0.19837744471110755,0.07364574201549984,False,True,True,,,
