language,task,n_classes,spearman_support_delta,spearman_p,mean_delta_low_support,mean_delta_high_support,macro_f1_gap
en_ewt,upos,17,-0.8406862745098039,2.377892428594587e-05,0.38933300665007925,0.07588410311951273,0.24182764028275383
en_ewt,number,2,,,0.009950038327140698,0.0030769167772287664,0.006513477552184732
it_isdt,upos,16,-0.08529411764705883,0.7534650694747835,0.249447663047067,0.10538503536432309,0.17741634920569505
it_isdt,number,2,,,0.007268698844013377,0.0034085754171374605,0.005338637130575419
pl_pdb,upos,17,-0.47058823529411764,0.05659410879699635,0.3214354906795127,0.23883471058857794,0.28256453534260223
pl_pdb,number,2,,,0.006706126165702764,0.0025840808351919042,0.004645103500447334
