language,task,term,log_odds,ci_lo,ci_hi,p_value,headline,C_label_included,converged,class_n,class_errors,all_or_none
en_ewt,upos,Intercept,-1.6707942283412212,-1.7683896874224443,-1.573198769259998,7.929832113448259e-247,False,True,True,,,
en_ewt,upos,C(label)[T.ADP],-0.1208451394425865,-0.26466693431036437,0.02297665542519138,0.09959002749834299,False,True,True,7478.0,1141.0,False
en_ewt,upos,C(label)[T.ADV],0.3638894542867066,0.23431399920612653,0.4934649093672867,3.7083204262225394e-08,False,True,True,3131.0,631.0,False
en_ewt,upos,C(label)[T.AUX],-0.12688528027330756,-0.3365697295212936,0.08279916897467846,0.23561321673242563,False,True,True,1033.0,141.0,False
en_ewt,upos,C(label)[T.CCONJ],0.6824715718579468,0.5036982999419188,0.8612448437739748,7.308136225843838e-14,False,True,True,999.0,297.0,False
en_ewt,upos,C(label)[T.DET],2.5925611005904545,2.3640866105746374,2.8210355906062716,1.4021955555887956e-109,False,True,True,449.0,319.0,False
en_ewt,upos,C(label)[T.INTJ],1.8720437826190288,1.626982608383335,2.117104956854723,1.1133962219382508e-50,False,True,True,303.0,163.0,False
en_ewt,upos,C(label)[T.NOUN],-0.9173568658101313,-1.0371933967923765,-0.7975203348278861,6.948127525624854e-51,False,True,True,10444.0,675.0,False
en_ewt,upos,C(label)[T.NUM],-0.13361938244256244,-0.33334770453948814,0.06610893965436324,0.1897810683766039,False,True,True,962.0,159.0,False
en_ewt,upos,C(label)[T.PART],7.145560541060705,5.8588263704768675,8.432294711644543,1.3713302945821276e-27,False,True,True,597.0,595.0,False
en_ewt,upos,C(label)[T.PRON],-1.520891894454031,-1.6910986778106007,-1.3506851110974614,1.1329657744918326e-68,False,True,True,6696.0,301.0,False
en_ewt,upos,C(label)[T.PROPN],-0.4443452642729586,-0.58752348662333,-0.30116704192258725,1.182240602885109e-09,False,True,True,3432.0,378.0,False
en_ewt,upos,C(label)[T.PUNCT],-0.8776570164450297,-1.0657856871282254,-0.689528345761834,6.039878784580435e-20,False,True,True,2361.0,215.0,False
en_ewt,upos,C(label)[T.SCONJ],0.8785054413937192,0.6971972126111627,1.0598136701762757,2.1654193378728888e-21,False,True,True,866.0,268.0,False
en_ewt,upos,C(label)[T.SYM],2.013895981192962,1.7521080494427368,2.2756839129431876,2.269927461251775e-51,False,True,True,317.0,206.0,False
en_ewt,upos,C(label)[T.VERB],-0.6427739771704545,-0.7682111962576947,-0.5173367580832142,9.824720680238293e-24,False,True,True,6678.0,569.0,False
en_ewt,upos,C(label)[T.X],2.076275594963922,1.5438538569628368,2.608697332965007,2.118279933502039e-14,False,True,True,61.0,38.0,False
en_ewt,upos,z_n_subwords,0.1138753376650133,0.07955215995429755,0.14819851537572903,7.891804378960818e-11,True,True,True,,,
en_ewt,upos,z_char_length,-0.2752055100218175,-0.3254690632089514,-0.22494195683468354,7.257394566336763e-27,False,True,True,,,
en_ewt,upos,z_log_freq,-0.05735797930630103,-0.11177963841863817,-0.0029363201939638928,0.03885550900994908,False,True,True,,,
en_ewt,number,Intercept,-3.1479137800320394,-3.386089998770366,-2.9097375612937126,5.950672581509928e-148,False,True,True,,,
en_ewt,number,C(label)[T.Sing],-2.1611195305532824,-2.581365718163111,-1.7408733429434537,6.83276171941303e-24,False,True,True,6477.0,42.0,False
en_ewt,number,z_n_subwords,-0.12603442245745808,-0.4045624697848771,0.15249362486996096,0.3751396939731404,True,True,True,,,
en_ewt,number,z_char_length,-0.5517914473415974,-0.8060004893529118,-0.29758240533028296,2.0966773999798575e-05,False,True,True,,,
en_ewt,number,z_log_freq,0.1512307046972204,-0.07968813200138397,0.3821495413958248,0.19928298705087677,False,True,True,,,
it_isdt,upos,Intercept,-2.117436938879057,-2.2790346481419452,-1.9558392296161684,1.8729176047933244e-145,False,True,True,,,
it_isdt,upos,C(label)[T.ADP],0.08376050851400796,-0.11578943772443595,0.28331045475245187,0.41068477452100605,False,True,True,8894.0,1052.0,False
it_isdt,upos,C(label)[T.ADV],0.20358219222352988,-0.005494535135627254,0.412658919582687,0.05633228644346987,False,True,True,1642.0,198.0,False
it_isdt,upos,C(label)[T.AUX],-0.14390587415173378,-0.4659483831092923,0.17813663480582476,0.3811294821147567,False,True,True,573.0,52.0,False
it_isdt,upos,C(label)[T.CCONJ],1.6767773508626098,1.4709986334431013,1.8825560682821183,2.045888326930471e-57,False,True,True,3936.0,1662.0,False
it_isdt,upos,C(label)[T.DET],0.685909820549285,0.49628723299006383,0.8755324081085061,1.3444767080867203e-12,False,True,True,10491.0,2134.0,False
it_isdt,upos,C(label)[T.INTJ],-1.9831251233418115,-8.010317967347328,4.044067720663705,0.5190008999451232,False,True,True,5.0,0.0,True
it_isdt,upos,C(label)[T.NOUN],-0.8129696177634969,-0.9825987330979858,-0.6433405024290079,5.8103656177325785e-21,False,True,True,9144.0,411.0,False
it_isdt,upos,C(label)[T.NUM],-0.3899522475420367,-0.7579753913354332,-0.021929103748640155,0.03782456465756821,False,True,True,441.0,40.0,False
it_isdt,upos,C(label)[T.PRON],-0.3106661114201585,-0.5587925180033273,-0.06253970483698962,0.01412893514321163,False,True,True,1358.0,114.0,False
it_isdt,upos,C(label)[T.PROPN],-0.5620630628475929,-0.7951949030600639,-0.32893122263512187,2.297493254362842e-06,False,True,True,1915.0,119.0,False
it_isdt,upos,C(label)[T.PUNCT],1.0405938171919842,0.8313935572138103,1.2497940771701581,1.860044311269881e-22,False,True,True,7717.0,2127.0,False
it_isdt,upos,C(label)[T.SCONJ],1.29820981147581,0.8295135083730101,1.76690611457861,5.6743722083178244e-08,False,True,True,94.0,27.0,False
it_isdt,upos,C(label)[T.SYM],5.48194534108802,-2.931167229003721,13.89505791117976,0.20156571254010858,False,True,True,2.0,2.0,True
it_isdt,upos,C(label)[T.VERB],-0.6957456936453225,-0.9098749887173618,-0.4816163985732831,1.911527598990059e-10,False,True,True,3010.0,150.0,False
it_isdt,upos,C(label)[T.X],2.0062772657493055,1.1319419520598997,2.8806125794387114,6.879114572048669e-06,False,True,True,21.0,11.0,False
it_isdt,upos,z_n_subwords,0.011955760820249996,-0.028348252046299142,0.052259773686799134,0.5609690996737615,True,True,True,,,
it_isdt,upos,z_char_length,-0.22963692544310796,-0.29825436741019296,-0.161019483476023,5.407301176798647e-11,False,True,True,,,
it_isdt,upos,z_log_freq,-0.10284633436165755,-0.16357941643665674,-0.04211325228665836,0.0009032971294332839,False,True,True,,,
it_isdt,number,Intercept,-5.956950383295715,-6.467757274114776,-5.446143492476654,1.250833389408559e-115,False,True,True,,,
it_isdt,number,C(label)[T.Sing],-0.39162801462899827,-0.857491189390474,0.0742351601324775,0.09942568438240985,False,True,True,7517.0,65.0,False
it_isdt,number,z_n_subwords,1.3302778309729286,1.0725187015605615,1.5880369603852957,4.728345286174642e-24,True,True,True,,,
it_isdt,number,z_char_length,-2.103853664602098,-2.48850209454055,-1.7192052346636464,8.189681677951045e-27,False,True,True,,,
it_isdt,number,z_log_freq,0.5947580083326063,0.36152406618218846,0.8279919504830241,5.792665501917458e-07,False,True,True,,,
pl_pdb,upos,Intercept,-2.3133649408820673,-2.4068325152537846,-2.21989736651035,0.0,False,True,True,,,
pl_pdb,upos,C(label)[T.ADP],0.7061036114754169,0.5694788434600796,0.8427283794907542,4.088240429521807e-24,False,True,True,16288.0,3521.0,False
pl_pdb,upos,C(label)[T.ADV],1.0704070962696475,0.9423137600649489,1.198500432474346,2.7298495761582296e-60,False,True,True,2903.0,727.0,False
pl_pdb,upos,C(label)[T.AUX],3.5170011965440704,3.3715670564114792,3.6624353366766615,0.0,False,True,True,2513.0,2009.0,False
pl_pdb,upos,C(label)[T.CCONJ],0.4872299003070611,0.1449545434935185,0.8295052571206036,0.005270575321580852,False,True,True,237.0,45.0,False
