variant,language,n_classes,n_closed,n_open,closed_mean_delta_f1,open_mean_delta_f1,closed_share_of_gap,closed_share_of_classes,macro_f1_gap,mannwhitney_u,mannwhitney_p
NUM_open,en_ewt,17,7,7,0.33788233596985545,0.13955743243087254,0.5753189359611509,0.4117647058823529,0.24182764028275383,34.0,0.12966200466200467
NUM_open,it_isdt,16,6,7,0.27951842185396036,0.06303616341477979,0.5908103095600754,0.375,0.17741634920569505,39.0,0.004079254079254079
NUM_open,pl_pdb,17,7,7,0.3706114788877774,0.1382140311837712,0.5400703468176579,0.4117647058823529,0.28256453534260223,43.0,0.00874125874125874
NUM_closed,en_ewt,17,8,6,0.30864062552078186,0.14549222910647344,0.6006039968552572,0.47058823529411764,0.24182764028275383,32.0,0.1724941724941725
NUM_closed,it_isdt,16,7,6,0.2475095087875894,0.0642995189190158,0.610346287584946,0.4375,0.17741634920569505,37.0,0.011072261072261072
NUM_closed,pl_pdb,17,8,6,0.3383403233593963,0.14250933060427826,0.5634782705674317,0.47058823529411764,0.28256453534260223,40.0,0.021312021312021312
