language,task,label,support_T,f1_A,f1_B,delta_f1,class_type
en_ewt,upos,ADJ,3823,0.9255096706743335,0.820358530775981,0.10515113989835256,open
en_ewt,upos,ADP,7478,0.9749832775919732,0.8894659274335041,0.08551735015846917,closed
en_ewt,upos,ADV,3131,0.9259022676461195,0.7338910905621606,0.19201117708395887,open
en_ewt,upos,AUX,1033,0.9822200864968765,0.735973597359736,0.24624648913714053,closed
en_ewt,upos,CCONJ,999,0.992503748125937,0.8032036613272311,0.1893000867987059,closed
en_ewt,upos,DET,449,0.9100877192982456,0.32622333751568383,0.5838643817825617,closed
en_ewt,upos,INTJ,303,0.9355371900826446,0.5175600739371534,0.41797711614549116,open
en_ewt,upos,NOUN,10444,0.9630726603926814,0.9266303059046715,0.03644235448800981,open
en_ewt,upos,NUM,962,0.8672566371681416,0.7633079847908745,0.10394865237726714,open
en_ewt,upos,PART,597,0.9949579831932773,0.006535947712418301,0.988422035480859,closed
en_ewt,upos,PRON,6696,0.9954406158905748,0.9684258347845839,0.02701478110599087,closed
en_ewt,upos,PROPN,3432,0.9220250218213558,0.8756989247311828,0.04632609709017299,open
en_ewt,upos,PUNCT,2361,0.952561669829222,0.9129972346309296,0.039564435198292336,other
en_ewt,upos,SCONJ,866,0.9140893470790378,0.6692781197537773,0.2448112273252605,closed
en_ewt,upos,SYM,317,0.8090614886731392,0.46638655462184875,0.34267493405129046,other
en_ewt,upos,VERB,6678,0.9780757929631583,0.9030303030303031,0.0750454899328552,open
en_ewt,upos,X,61,0.5833333333333334,0.19658119658119658,0.3867521367521368,other
en_ewt,number,Plur,2033,0.9814494187484541,0.9714993804213135,0.009950038327140698,-
en_ewt,number,Sing,6477,0.9942205440394544,0.9911436272622256,0.0030769167772287664,-
it_isdt,upos,ADJ,2466,0.9288906948394962,0.8737294761532447,0.055161218686251456,open
it_isdt,upos,ADP,8894,0.9960643202518835,0.9119665077334573,0.08409781251842618,closed
it_isdt,upos,ADV,1642,0.9510786994834397,0.823026503277287,0.1280521962061527,open
it_isdt,upos,AUX,573,0.9809358752166378,0.8611570247933884,0.11977885042324943,closed
it_isdt,upos,CCONJ,3936,0.9935172238464471,0.7119599248591109,0.2815572989873363,closed
it_isdt,upos,DET,10491,0.994894794598979,0.8576559934318555,0.1372388011671235,closed
it_isdt,upos,INTJ,5,1.0,0.9090909090909091,0.09090909090909094,open
it_isdt,upos,NOUN,9144,0.9781301257517769,0.9414618369987063,0.0366682887530706,open
it_isdt,upos,NUM,441,0.6970560303893637,0.6416,0.05545603038936375,open
it_isdt,upos,PRON,1358,0.9544787077826725,0.44740154648444524,0.5070771612982272,closed
it_isdt,upos,PROPN,1915,0.9459249676584734,0.8944223107569721,0.051502656901501354,open
it_isdt,upos,PUNCT,7717,0.9787680209698558,0.8054174771270082,0.17335054384284765,other
it_isdt,upos,SCONJ,94,0.8121827411167513,0.2648221343873518,0.5473606067293995,closed
it_isdt,upos,SYM,2,0.0,0.0,0.0,other
it_isdt,upos,VERB,3010,0.9686457638425617,0.9451421017845341,0.023503662058027674,open
it_isdt,upos,X,21,0.5789473684210527,0.032,0.5469473684210526,other
it_isdt,number,Plur,3472,0.9935111751982696,0.9862424763542562,0.007268698844013377,-
it_isdt,number,Sing,7517,0.9970085754171375,0.9936,0.0034085754171374605,-
pl_pdb,upos,ADJ,8053,0.9807059991314597,0.9371049502471994,0.04360104888426031,open
pl_pdb,upos,ADP,16288,0.9992632160618898,0.8772460232933659,0.12201719276852396,closed
pl_pdb,upos,ADV,2903,0.9422114887010523,0.6263672999424295,0.31584418875862286,open
pl_pdb,upos,AUX,2513,0.9627564230233021,0.32558139534883723,0.6371750276744649,closed
pl_pdb,upos,CCONJ,237,0.8771186440677966,0.45176470588235296,0.42535393818544365,closed
pl_pdb,upos,DET,1796,0.9513966480446927,0.5545514657262508,0.3968451823184419,closed
pl_pdb,upos,INTJ,17,0.48484848484848486,0.17391304347826086,0.310935441370224,open
pl_pdb,upos,NOUN,20672,0.9888805445868359,0.9613357185450209,0.027544826041815074,open
pl_pdb,upos,NUM,337,0.9277456647398844,0.8153034300791556,0.11244223466072878,open
pl_pdb,upos,PART,1390,0.9241231209735147,0.48841996911991764,0.43570315185359704,closed
pl_pdb,upos,PRON,6095,0.9931883463274518,0.7212549873050417,0.2719333590224101,closed
pl_pdb,upos,PROPN,1673,0.9357798165137615,0.8743661971830986,0.061413619330662916,open
pl_pdb,upos,PUNCT,1235,0.9477944152165115,0.8918358889349358,0.055958526281575716,other
pl_pdb,upos,SCONJ,590,0.9589958158995816,0.6537433155080213,0.30525250039156027,closed
pl_pdb,upos,SYM,2,1.0,0.0,1.0,other
pl_pdb,upos,VERB,8859,0.9860076732114647,0.8902908139713802,0.09571685924008444,open
pl_pdb,upos,X,181,0.5179063360881543,0.33204633204633205,0.18586000404182224,other
pl_pdb,number,Plur,4825,0.9804451841065114,0.9737390579408086,0.006706126165702764,-
pl_pdb,number,Sing,12330,0.9923874311629414,0.9898033503277495,0.0025840808351919042,-
