language,task,predictor,raw_mean,raw_sd
en_ewt,upos,n_subwords,1.1898650010074552,0.5482171587091177
en_ewt,upos,char_length,4.42417892403788,2.675355943338646
en_ewt,upos,log_freq,4.803617192694925,2.3006506356904826
en_ewt,number,n_subwords,1.3627497062279672,0.6525005375124877
en_ewt,number,char_length,6.090951821386604,2.4157630430021464
en_ewt,number,log_freq,2.8466259565780363,1.1924638441066273
it_isdt,upos,n_subwords,1.2246997621303835,0.5235230080672383
it_isdt,upos,char_length,3.8374557620530276,3.0923151579406687
it_isdt,upos,log_freq,6.10004748634411,2.749013672541999
it_isdt,number,n_subwords,1.5002275002275003,0.72091900929849
it_isdt,number,char_length,7.422968422968423,2.4874979557217674
it_isdt,number,log_freq,3.182051880404487,1.2087398477840088
pl_pdb,upos,n_subwords,1.5633914965472742,0.8737647301635476
pl_pdb,upos,char_length,5.321288834584918,3.2152837649430785
pl_pdb,upos,log_freq,4.405591114374334,2.777388205193448
pl_pdb,number,n_subwords,1.9565141358204605,0.9659175779710821
pl_pdb,number,char_length,7.336228504809093,2.4657683669437898
pl_pdb,number,log_freq,2.5394198775474965,1.336717654598135
pooled,upos,n_subwords,1.3564129061889998,0.7191980788254476
pooled,upos,char_length,4.62516362383741,3.098372138454615
pooled,upos,log_freq,5.022037771885163,2.737707302273137
pooled,number,n_subwords,1.6818628253396628,0.8718762089339717
pooled,number,char_length,7.073116167403285,2.5196561730970024
pooled,number,log_freq,2.803407622730706,1.2963319800011845
