language,task,delta_acc,acc_ci_lo,acc_ci_hi,delta_macro_f1,f1_ci_lo,f1_ci_hi,bootstrap_resamples
en_ewt,upos,0.09316945395929888,0.09042917590167238,0.09599032843038485,0.24182764028275405,0.23327682942558484,0.25043278400731117,10000
en_ewt,number,0.004700352526439411,0.0024676850763807284,0.007050528789659225,0.006513477552184677,0.0034254133187355124,0.009778892338608292,10000
it_isdt,upos,0.1380417335473515,0.13490881664700535,0.1411746504476977,0.17741634920569505,0.16094639616826067,0.19863474317802315,10000
it_isdt,number,0.004641004641004698,0.003003003003003003,0.00637000637000637,0.005338637130575363,0.0034275031674963043,0.007332378365674406,10000
pl_pdb,upos,0.13475927019123846,0.13213677736439644,0.1373127771447399,0.2825645353426023,0.23120126259475343,0.29416497562595845,10000
pl_pdb,number,0.003730690760711197,0.002331681725444477,0.005187991839113961,0.004645103500447112,0.0028945733570710425,0.00646647425207618,10000
