language,task,probe,layer,acc_A,acc_B,f1_A,f1_B,delta_acc,delta_f1,n_train,n_test,n_iter_A,n_iter_B,converged_A,converged_B,fit_s_A,fit_s_B
en_ewt,upos,mlp_256,8,0.9673786016522264,0.872315131976627,0.932624988878102,0.6814729212386045,0.09506346967559942,0.2511520676394975,146817,49630,55,49,True,True,560.6,588.1
en_ewt,number,mlp_256,8,0.9952996474735605,0.9942420681551116,0.9935064583269906,0.992035892286699,0.0010575793184488536,0.0014705660402916099,24841,8510,21,23,True,True,26.5,30.3
it_isdt,upos,mlp_256,8,0.9801775319576863,0.8066294068730782,0.8427699484250395,0.6585673051836689,0.17354812508460815,0.1842026432413706,153848,51709,43,48,True,True,405.3,422.2
it_isdt,number,mlp_256,8,0.9974519974519974,0.9967239967239967,0.9970494417862839,0.9962087838790994,0.0007280007280007217,0.0008406579071844611,32289,10989,17,20,True,True,27.8,33.2
pl_pdb,upos,mlp_256,8,0.9842808308507571,0.8758940706470257,0.9124985782933556,0.708613789028392,0.10838676020373139,0.20388478926496356,196499,72841,38,47,True,True,464.6,777.1
pl_pdb,number,mlp_256,8,0.9918974060040805,0.9886913436315943,0.989956100034783,0.985945183584982,0.003206062372486218,0.004010916449801005,50373,17155,19,20,True,True,45.9,47.7
